Entity,Transparency,transparency 3,Share Depression and Anxiety,Population,Region,Order,Share - very + somewhat comfortable
El Salvador,56.9,28,38.1354,6280217,-88.89653,1,46.99874
Nicaragua,53.1,27,35.3196,6663924,-85.207229,2,44.909352
Costa Rica,50.3,25,33.1376,5084532,-83.753428,3,43.66261
Ecuador,70,35,42.6957,17343740,-78.183406,4,54.14606
Peru,65.4,33,49.3497,32824861,-75.015152,5,51.30043
Colombia,55.9,28,30.2467,50187406,-74.297333,6,46.53246
Chile,51.3,26,37.2854,19039485,-71.542969,7,43.87427
Dominican Republic,50.3,25,38.4339,10881882,-70.162651,8,43.73569
Venezuela,35.6,18,38.2288,28971683,-66.58973,9,35.701901
Argentina,56.9,28,35.3166,44938712,-63.616672,10,47.12229
Bolivia,69,35,38.3807,11777315,-63.588653,11,53.30707
Brazil,54.1,27,33.012,211782878,-51.92528,12,45.38906
Portugal,45.6,23,26.3303,10286263,-8.224454,13,41.14893
Cote d'Ivoire,41.9,21,33.2668,26147551,-5.54708,14,38.9477
United Kingdom,88.8,44,26.4391,66836327,-3.435973,15,63.97422
Burkina Faso,46.6,23,26.111,20951639,-1.561593,16,41.33464
France,31.5,16,26.8233,67388001,2.213749,17,33.30696
Tunisia,51.5,26,32.7377,12049314,9.537499,18,44.17174
Cameroon,40,20,36.3316,25782341,12.354722,19,38.21539
Congo,41.8,21,25.6484,5570733,15.827659,20,38.84471
Sweden,87.8,44,24.6948,10278887,18.643501,21,63.45546
Greece,45.6,23,33.8143,10721582,21.824312,22,41.1725
Bulgaria,63.4,32,28.8326,6975761,25.48583,23,50.52033
Zambia,26.9,13,40.3954,18380477,27.849332,24,31.10888
Zimbabwe,42.8,21,26.9527,15354608,29.154857,25,39.7224
Ukraine,70.9,35,26.94,44386203,31.16558,26,54.39388
Cyprus,54.1,27,25.7653,1228836,33.429859,27,45.60978
Tanzania,57.8,29,26.2666,59872579,34.888822,28,47.45483
Jordan,29.6,15,24.7353,10698683,36.238414,29,32.30738
Kenya,35.3,18,32.247,50951450,37.906193,30,35.36648
Georgia,57.1,29,32.5729,3720161,43.356892,31,47.2473
Iraq,29.7,15,31.2085,41563520,43.679291,32,32.4262
Saudi Arabia,49.3,25,29.9566,35827362,45.079162,33,42.79513
Bahrain,54.9,27,26.3745,1494188,50.637772,34,45.83485
Iran,74.8,37,25.9598,86564202,53.688046,35,56.65303
Mauritius,38.1,19,32.3878,1265985,57.552152,36,37.13789
Uzbekistan,34.4,17,27.3631,33580350,64.585262,37,35.02028
Russia,70.7,35,28.8062,144406261,105.318756,38,54.34542
Vietnam,37.2,19,31.1553,95776716,108.277199,39,36.4583
Australia,85,43,27.2576,25334826,133.775136,40,62.03654